master_id,ebsco_search_position,title,current_screening_status,user_decision,user_notes,applied
M0183,1,How Workplace Fun Promotes Employees' Innovative Behavior: A Dual Mediation Model.,included,,verification sample,N
M0244,63,Beyond coexistence: the asymmetric interplay of health risk and promotion pathways driven by communication legacies across emerging and recurring epidemics.,level1_fail,exclude,domain out of scope — public health/epidemics,Y
M0247,66,"Time-lagged effects of social support on exercise adherence among Korean college students: serial mediation of self-efficacy, athletic identity, and intrinsic motivation.",level1_fail,exclude,domain out of scope — student exercise adherence; no workplace/organizational context,Y
M0251,70,"Social media addiction and social anxiety among college students: the serial mediating roles of alienation, self-focused attention, and fear of negative evaluation.",level1_fail,exclude,domain out of scope — student social media/anxiety; no workplace context,Y
M0252,71,The effect of social capital on infectious disease-specific health literacy among community residents: the chain mediating effect of family health and psychological capital.,level1_fail,exclude,domain out of scope — community public-health literacy; not organizational,Y
M0255,74,"Could AI risk perception, AI learning anxiety and personal growth initiative influence university students' AI usage capability? An empirical investigation based on the control-value theory.",level1_fail,exclude,domain out of scope — university student AI learning; not workplace context,Y
M0282,102,Flourishing and its influencing factor in inflammatory bowel disease patients: a latent profile analysis.,level1_fail,exclude,domain out of scope — clinical patient sample,Y
M0289,109,Interpersonal satisfaction and classroom silence in Chinese universities: the mediating role of social anxiety.,level1_fail,exclude,domain out of scope — classroom silence in higher ed; not organizational,Y
M0293,113,The impact of self-transcendence values on cooperative behaviors: attitude mediation and emotional moderation.,level1_fail,exclude,domain out of scope — language classroom cooperative learning; not organizational,Y
M0323,143,The role of social support in the association between quality of life and demoralization in patients with inflammatory bowel disease: a cross-sectional study.,level1_fail,exclude,domain out of scope — clinical IBD patients; not organizational,Y
M0353,,Mothers' parental burnout and adolescents' social adaptation and security: the mediating role of parenting style.,level1_fail,exclude,domain out of scope — parenting/adolescent outcomes; not organizational,Y
M0474,,"An Extended Model of Preference Formation Between Global and Local Brands: The Roles of Identity Expressiveness, Trust, and Affect.",level1_fail,exclude,domain out of scope — consumer brand preference; not organizational/work context,Y
