longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Complementary Index,edb,188601779,"Relationship among service accessibility, social norms, herpes zoster vaccination intention of middle-aged and older adults in Chongqing: mediating role of perceived usefulness.",,20251010,"Deng, Yanxi ; Wang, Tianran ; Yu, Li ; Fu, Xin ; Luo, Yaman ; Chen, Fei",Article,Academic Journal,2025,true,Frontiers in Public Health,,JOUR,,,2296-2565,,,,,eng,Frontiers Media S.A.,11,1,11,,,10.3389/fpubh.2025.1649455,,GTVA,,https://research.ebsco.com/plink/7bfe3aaa-3340-3e2b-8732-e99fa93a879c,,,,
Complementary Index,edb,188391369,The impact of work concerns on teaching effectiveness: a structural equation modeling and multiple regression analysis in Chinese private universities.,"It is crucial to understand how young teachers cope with work concerns for improving teaching quality in the Chinese private higher education institutions. This study investigates the relationship between different stages of such concerns and teacher effectiveness among young lecturers in private universities. These lecturers often face workload pressure and a lack of career support, which may influence their professional development and teacher effectiveness. This research involved 416 full-time lecturers under 40 from four private universities located in Shandong Province. The sample was selected through a multi-stage sampling method: private universities were stratified into four categories, one university from each category was purposively selected, and participants were randomly sampled. Data were collected using a structured questionnaire based on the Stages of Concern and the School Teacher Effectiveness Questionnaire. Pearson correlation, multiple regression, and structural equation modeling were conducted for analysis. Results show that task concerns and impact concerns significantly influenced teacher effectiveness across three dimensions: instructional planning and strategies, assessment, and learning environment. In contrast, self-concerns showed weaker influence. These findings suggest that work concerns reflect not only stress but also deeper professional motivation, pointing to the need for more targeted support strategies to improve teacher effectiveness and career growth.",20251002,"Liang, Mingyu ; Abdullah, Mohd Khairuddin ; Wang, Qun",Article,Academic Journal,2025,true,Frontiers in Psychology,"SHANDONG Sheng (China) ; Professional and Management Development Training ; Vocational Rehabilitation Services ; Independent Artists, Writers, and Performers ; Independent actors, comedians and performers ; Colleges, Universities, and Professional Schools ; EFFECTIVE teaching ; TEACHER development ; LECTURERS ; UNIVERSITIES & colleges ; STRUCTURAL equation modeling ; JOB stress ; CAREER development ; MULTIPLE regression analysis",JOUR,,,1664-1078,,,,,eng,Frontiers Media S.A.,11,1,11,,,10.3389/fpsyg.2025.1661379,,EV3B,,https://research.ebsco.com/plink/0bfac962-4442-3de2-9246-2097380a4177,,,,
Complementary Index,edb,188391631,Surround yourself with creative people: How employee narcissism connects to creativity.,"Researchers have proposed that contextual factors in organizations can influence employee creativity and that this effect may vary as a function of employee personality. To extend the literature, this study proposed a theoretical model to explain the conditions under which narcissistic employees become more creative. This study theorizes that creative self-efficacy mediates the relationship between employee narcissism and creativity, and propose an important boundary condition—the presence of creative coworkers. Specifically, for narcissistic employees observing their coworkers engaging in creative behaviors increases their creative self-efficacy and subsequently increases their creativity. Our theoretical framework empirically tested through a study involving 247 full-time employees. The results indicate a positive relationship between employee narcissism and creative self-efficacy, which promotes creativity. Furthermore, the presence of creative coworkers moderates these relationships. This study clarifies inconsistent findings regarding the association between narcissism and creativity but also provide insight into the underlying mechanism based on social cognitive theory. This study offers managers insights into leveraging narcissistic employees—who are often considered more creative—by highlighting the critical role of creative coworkers. Managers should integrate narcissistic employees into innovation teams with highly creative peers to activate their creative potential through synergistic collaboration.",20251001,"Guo, Qiuyun",Article,Academic Journal,2025,true,Frontiers in Psychology,SELF-efficacy ; NARCISSISM ; CREATIVE ability ; SOCIAL cognitive theory ; TASK forces ; ORGANIZATIONAL behavior,JOUR,,,1664-1078,,,,,eng,Frontiers Media S.A.,11,1,11,,,10.3389/fpsyg.2025.1646817,,EV3B,,https://research.ebsco.com/plink/d1bd6223-4fa8-3af6-b8eb-9e87952ec6be,,,,
Complementary Index,edb,188986768,Analysis of the Effects of CSR and Compliance Programs on Organizational Reputation.,"The present study undertakes an analytical investigation into the relationships between Corporate Social Responsibility (CSR), Compliance Programs, Reputational Risk Management, and Corporate Image. A survey was conducted among 154 senior professionals in companies across diverse sectors and sizes, using the Partial Least Squares Structural Equation Modeling (PLS-SEM) methodology with the aid of SmartPLS 4.0 software. The findings indicate that CSR exerts a substantial and immediate influence on both the management of reputational risk and the establishment of a robust corporate image. Furthermore, it has been observed that the adoption of Compliance Programs is driven by CSR, which also contributes, albeit to a lesser extent, to the strengthening of the external perception of the company. Conversely, proactive management of reputational risk has been demonstrated to enhance regulatory compliance and positively impact corporate image. The alignment of corporate social responsibility (CSR) with compliance initiatives has been demonstrated to engender sustainable competitive advantages within challenging regulatory contexts. In conclusion, the present paper puts forward the suggestion of conducting longitudinal studies in order to observe the evolution of the relationships under discussion over time.",20251001,"Arredondo-Méndez, Víctor Hugo ; Muñoz-Molina, Yaromir ; Para-González, Lorena ; Mascaraque-Ramírez, Carlos",Article,Academic Journal,Oct2025,true,Systems,SOCIAL responsibility of business ; CORPORATE image ; PARTIAL least squares regression ; CORPORATE governance ; REGULATORY compliance ; MARKET positioning ; REPUTATIONAL risk,JOUR,,,2079-8954,,,,,eng,MDPI,,905,,13,10,10.3390/systems13100905,,HE17,,https://research.ebsco.com/plink/7e3e0245-4d20-37e3-87d2-3e5ae02264e9,,,,
Complementary Index,edb,188993020,Measuring the Impact of Large Language Models on Academic Success and Quality of Life Among Students with Visual Disability: An Assistive Technology Perspective.,"In the rapid digital era, artificial intelligence (AI) tools have progressively arisen to shape the education environment. In this context, large language models (LLMs) (i.e., ChatGPT vs. 4.0 and Gemini vs. 2.5) have emerged as powerful applications for academic inclusion. This paper investigated how using and trusting LLMs can impact the academic success and quality of life (QoL) of visually impaired university students. Quantitative research was conducted, obtaining data from 385 visually impaired university students through a structured survey design. Partial Least Squares Structural Equation Modelling (PLS-SEM) was implemented to test the study hypotheses. The findings revealed that trust in LLMs can significantly predict LLM usage, which in turn can improve QoL. While LLM usage failed to directly support the academic success of disabled students, but its impact was mediated through QoL, suggesting that enhancements in well-being can contribute to higher academic success. The results highlighted the importance of promoting trust in AI applications, along with developing an accessible, inclusive, and student-centred digital environment. The study offers practical contributions for educators and policymakers, shedding light on the importance of LLM applications for both the QoL and academic success of visually impaired university students.",20251001,"Elshaer, Ibrahim A. ; AlNajdi, Sameer M. ; Salem, Mostafa A.",Article,Academic Journal,Oct2025,true,Bioengineering (Basel),QUALITY of life ; PEOPLE with visual disabilities ; ACADEMIC achievement ; LANGUAGE models ; ASSISTIVE technology ; INCLUSIVE education,JOUR,,,2306-5354,,,,,eng,MDPI,,1056,,12,10,10.3390/bioengineering12101056,,L0PH,,https://research.ebsco.com/plink/7d4a7362-7b43-3e44-9be0-4cff4d0927c0,,,,
Academic Search Complete,a9h,176272149,"Parental Burnout, Negative Parenting Style, and Adolescents' Development.","Research on parental burnout has focused more on its antecedents than on its consequences. Burned-out parents may experience a series of behavioral changes, negatively affecting their children's physical and mental development. This study examined the effects of primary caregivers' parental burnout on adolescents' development and the mediating role of negative parenting styles. This study used a time-lagged design, and data were collected at three different time points. Adolescents were asked to identify their primary caregivers, and parents were asked whether they were the primary caregivers of their children. Thereafter, paired data from the children and primary caregivers were collected. A total of 317 junior middle school students (178 boys, M<sub>age</sub> = 14.20 ± 0.8 years) and primary caregivers (71 fathers, M<sub>age</sub> = 42.20 ± 4.53 years) from Henan province participated. Primary caregivers' parental burnout was positively associated with negative parenting styles, and negative parenting styles mediated the relationship between parental burnout and adolescent development. From the perspective of prevention-focused interventions, it is necessary to focus on preventing the occurrence of parental burnout. Further, parents should try to avoid using abusive behaviors toward their children and neglecting them.",20240301,"Guo, Xingchen ; Hao, Chenyu ; Wang, Wei ; Li, Yongxin",Article,Academic Journal,Mar2024,true,Behavioral Sciences (2076-328X),Adolescent development ; Psychological burnout ; Abusive behavior ; Parenting ; Child behavior ; Grandparents ; Henan Sheng (China),JOUR,,,2076-328X,,,,,eng,MDPI,,161,,14,3,10.3390/bs14030161,,FDU1,,https://research.ebsco.com/plink/38b67b21-7095-31ce-95bb-dc6d4d8b936c,,,,
Academic Search Complete,a9h,175141394,Youth materialism and consumer ethics: do Gen Z adolescents' self-concepts (power and self-esteem) vary across cultures (China vs. France)?,"Youth materialism excites adolescents' unethical consumer beliefs (UCB-dishonesty). We develop a second-stage moderated mediation model, investigate the relationships between materialism and Generation Z teenagers' consumer ethics (UCB-dishonesty), and treat two self-concept mechanisms (power and self-esteem) as dual mediators and culture as a moderator (China vs. France). We theorize that materialism enhances power (public self) and reduces self-esteem (private self). French adolescents' sense of power increases UCB more than their Chinese counterparts. Chinese teenagers' self-esteem reduces UCB more than their French counterparts. We challenge the assumption that the interaction effects between consumers' self-concepts and UCB are the same across cultures. We offer the following discoveries based on 1,005 (409 Chinese and 596 French) adolescents. First, the measurement model of consumer ethics with four subconstructs is superior to the model with one overall construct. Second, a sense of power and self-esteem mediate the relationships between youth materialism and consumer ethics, creating two positive and negative paths for power and self-esteem, respectively. Third, French adolescents display a higher magnitude and positive intensity between adolescents' power (public self) and UCB-dishonesty than their Chinese counterparts across all four subconstructs. Chinese teenagers illustrate a lower magnitude but a higher negative intensity between self-esteem and UCB than their French counterparts across three subconstructs, with one exception: Adolescents' self-esteem has no impact on ""no harm, no foul"" across cultures. Neither buyers nor sellers experience substantial financial gains or losses. Finally, cultures moderate the second-stage mediation effects. Scholars must enhance adolescents' self-esteem and curb their power to promote honesty. We offer implications for materialism, consumer ethics, self-concepts, and culture for consumers and retailers.",20240201,"Gentina, Elodie ; Tang, Thomas Li-Ping",Article,Academic Journal,Feb/Mar2024,true,Ethics & Behavior,Focus groups ; Confidence intervals ; Self-perception ; Cross-sectional method ; Honesty ; Satisfaction ; Consumer attitudes ; Regression analysis ; Teenagers' conduct of life ; Questionnaires ; Factor analysis ; Power (Social sciences) ; Deception ; Cultural values ; China ; France,JOUR,,,1050-8422,,,,,eng,Taylor & Francis Ltd,150,120,31,34,2,10.1080/10508422.2022.2151012,,7LU,,https://research.ebsco.com/plink/0c09432b-cfc8-31f5-8139-6f5663d4ef90,,,,
Academic Search Complete,a9h,174912609,Broken engagement: The role of grit and LMX in enhancing faculty engagement.,"As the roles of faculty members have continued to expand, leaders in higher education need a better understanding of the drivers of faculty engagement. The current paper develops and tests a hypothesized model of faculty engagement in which faculty member grit is positively related to faculty member engagement both directly and indirectly through faculty member–academic chair leader member exchange (LMX). Using a sample of 156 faculty members in a mid‐sized public university in the mid‐Atlantic region of the United States, we tested the hypothesized model using PROCESS Model 4 with 5000 boot‐strapped samples and a 95% confidence interval. Results show significant direct positive relationships between faculty member grit and faculty member engagement and between faculty member–academic chair LMX and faculty member engagement, but no significant indirect relationship of faculty member grit through LMX. Implications for higher education leaders are discussed, along with limitations and directions for future research.",20240101,"Hanley, Yvonne Downie ; Maykrantz, Sherry A. ; Houghton, Jeffery D.",Article,Academic Journal,Jan2024,true,Higher Education Quarterly,"Higher education ; University faculty ; Public universities & colleges ; Futures studies ; Educational leadership ; Colleges, Universities, and Professional Schools",JOUR,,,0951-5224,,,,,eng,Wiley-Blackwell,172,153,20,78,1,10.1111/hequ.12450,,D85,,https://research.ebsco.com/plink/5785cff6-7bf1-3ff4-a3b0-5a1696f97a89,,,,
Academic Search Complete,a9h,173494906,"Gig worker's perceived algorithmic management, stress appraisal, and destructive deviant behavior.","With the advance of data technologies, gig platforms have applied data and algorithms to their management and put more stringent requirements on gig workers through algorithmic management. Gig workers might perform destructive deviant behavior when coping with algorithmic management. It is meaningful to examine how the algorithmic management applied to gig platforms could lead to gig workers' destructive deviant behavior. Based on the challenge–hindrance framework, we developed a research model and validated it with survey data collected from 423 food delivery riders. We employed multi-level linear regression analysis in data analysis and found that perceived algorithmic management was appraised as both a hindrance and a challenge. As a hindrance, it elicits working/family deviant behavior; as a challenge, it helps reduce working/family deviant behavior. Regulatory focus (a prevention focus vs. a promotion focus) moderates the effect of perceived algorithmic management on stress appraisals (hindrance appraisals vs. challenge appraisals). This study explains algorithmic management's impact on gig workers' destructive deviant behavior through the appraisal of algorithmic management as both a challenge and a hindrance. It also provides practical advice to gig platforms, gig workers and policymakers on how to balance the challenge and hindrance roles of algorithmic management in gig work.",20231108,"Zhang, Linzi ; Yang, Jie ; Zhang, Yiming ; Xu, Guohu",Article,Academic Journal,11/8/2023,true,PLoS ONE,Deviant behavior ; Psychological stress ; Stress management ; Local delivery services ; Regression analysis ; Local Messengers and Local Delivery,JOUR,,,1932-6203,,,,,eng,Public Library of Science,22,1,22,18,11,10.1371/journal.pone.0294074,,78BE,,https://research.ebsco.com/plink/7c6068a8-06eb-383d-ba9a-68269980a00b,,,,
Academic Search Complete,a9h,172309725,A Mixed-Method Study on Job Satisfaction Among Air Traffic Controllers During the Pandemic: The Roles of Work-Family Interface and Resilience.,"To investigate whether workload is negatively related to job satisfaction, directly and indirectly, via work-family conflict, and conditional on resilience levels. Covid-19 restriction measures severely affected the aviation sector leading air traffic controllers to face periodic fluctuations in air traffic volume. Despite their key role in ensuring the efficiency and safety of air traffic management, little is known about the psychological issues faced by air traffic controllers during the pandemic. A total of 168 Italian air traffic controllers completed an online self-report survey assessing workload, work-family conflict, job satisfaction, resilience, and Covid-19-related experience. Descriptive statistics and moderated mediation analyses were performed. To deepen the quantitative results, ten semi-structured interviews were conducted, and were analyzed using thematic analysis. Workload was positively related to work-family conflict which, in turn, was negatively associated with job satisfaction. Resilience buffered this association. The following six main themes emerged from the interviews: the impact of the Covid-19 pandemic; double-edged job characteristics; job-related risk stressors; protective resources; work-life interface; and consequences. Air traffic controllers who were confronted with sudden increases in air traffic volume were more likely to experience work-family conflict and then be less satisfied with their job. However, resilience was a protective factor against lower job satisfaction under high work-family conflict levels. Qualitative results deepened these findings. The practical implications of these findings are discussed.",20231001,"Bernuzzi, Chiara ; Sommovigo, Valentina ; O'Shea, Deirdre ; Setti, Ilaria",Article,Academic Journal,Oct-Dec2023,true,International Journal of Aerospace Psychology,Air traffic controllers ; Job satisfaction ; Thematic analysis ; Mediation (Statistics) ; Air traffic ; Family-work relationship ; Air Traffic Control,JOUR,,,2472-1840,,,,,eng,Taylor & Francis Ltd,269,247,23,33,4,10.1080/24721840.2023.2242391,,MASL,,https://research.ebsco.com/plink/b91759b5-c389-3f7b-b5d9-c75d4bbe4908,,,,
