master_id,ebsco_search_position,title,screening_status,Q1_1_management_domain,Q1_2_empirical_ulmc,Q1_3_not_pls,decision,confidence,rationale,q1_1_reason_code,q1_1_reason_text,q1_2_reason_code,q1_2_reason_text,q1_3_reason_code,q1_3_reason_text,decision_reason_code,decision_reason_text,evidence_type,pdf_evidence_snippet,text_file
M0183,1,How Workplace Fun Promotes Employees' Innovative Behavior: A Dual Mediation Model.,included,True,True,True,included,high,Q1.1–Q1.3 all pass,DOMAIN_PASS_JOURNAL_OUTLET,management journal/outlet match,ULMC_PASS_EMPIRICAL,empirical ULMC detected (ulmc_signals=1),PLS_PASS_NOT_DETECTED,no PLS-SEM detected,INCLUDE_ALL_CRITERIA_PASS,Q1.1 PASS (DOMAIN_PASS_JOURNAL_OUTLET): management journal/outlet match. Q1.2 PASS (ULMC_PASS_EMPIRICAL): empirical ULMC detected (ulmc_signals=1). Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: included — all Level 1 criteria pass.,ulmc,"again falling below the 50% threshold. Lastly, adopting the unmeasured latent method factor approach, we added a latent common method factor into the h",EBSCO_M0183_Wang_2026_How_Workplace_Fun_Promotes_Employees_Innovative.txt
M0184,2,The Impact of Artificial Intelligence Usage on Affective Work Well-Being: A Self-Determination Theory Perspective.,included,True,True,True,included,medium,Q1.1–Q1.3 all pass,DOMAIN_PASS_KEYWORDS_METADATA,management-domain keywords in metadata (n=3),ULMC_PASS_EMPIRICAL,empirical ULMC detected (ulmc_signals=1),PLS_PASS_NOT_DETECTED,no PLS-SEM detected,INCLUDE_ALL_CRITERIA_PASS,Q1.1 PASS (DOMAIN_PASS_KEYWORDS_METADATA): management-domain keywords in metadata (n=3). Q1.2 PASS (ULMC_PASS_EMPIRICAL): empirical ULMC detected (ulmc_signals=1). Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: included — all Level 1 criteria pass.,ulmc,"ule out the influence of common method bias, we applied the unmeasured latent method factor (ULMF) approach. Adding an unmeasured latent method factor",EBSCO_M0184_Zhang_2026_The_Impact_of_Artificial_Intelligence_Usage_on_Affective.txt
M0185,3,The impact of cultural tourism experience on cultural identity: A case study of Mazu culture.,excluded_pls,True,False,False,excluded_pls,high,PLS-SEM excluded (Q1.3): PLS-SEM estimation detected; domain=True; ulmc=False,DOMAIN_PASS_JOURNAL_OUTLET,management journal/outlet match,ULMC_FAIL_NON_EMPIRICAL,non-empirical study (conceptual),PLS_FAIL_SEM_DETECTED,PLS-SEM estimation detected,EXCLUDE_Q1_3_PLS,Q1.1 PASS (DOMAIN_PASS_JOURNAL_OUTLET): management journal/outlet match. Q1.2 FAIL (ULMC_FAIL_NON_EMPIRICAL): non-empirical study (conceptual). Q1.3 FAIL (PLS_FAIL_SEM_DETECTED): PLS-SEM estimation detected. Decision: excluded_pls — PLS-SEM detected (Q1.3 fail); not a hard reject of domain/ULMC.,pls,"PMID: 21299303 77. Edeh E, Lo WJ, Khojasteh J. Review of Partial Least Squares Structural Equation Modeling (PLS-SEM) Using R: A Workbook.",EBSCO_M0185_Wang_2026_The_impact_of_cultural_tourism_experience_on_cul.txt
M0186,4,The Green Shield: How Pro-Environmental Advocacy Protects Employees from Supervisor Ostracism.,included,True,True,True,included,medium,Q1.1–Q1.3 all pass,DOMAIN_PASS_KEYWORDS_METADATA,management-domain keywords in metadata (n=5),ULMC_PASS_EMPIRICAL,empirical ULMC detected (ulmc_signals=1),PLS_PASS_NOT_DETECTED,no PLS-SEM detected,INCLUDE_ALL_CRITERIA_PASS,Q1.1 PASS (DOMAIN_PASS_KEYWORDS_METADATA): management-domain keywords in metadata (n=5). Q1.2 PASS (ULMC_PASS_EMPIRICAL): empirical ULMC detected (ulmc_signals=1). Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: included — all Level 1 criteria pass.,ulmc,"e potential impact of common method variance (CMV) using an unmeasured latent method factor approach (Podsakoff et al., 2003). Specifically, we compare",EBSCO_M0186_Ju_2026_The_Green_Shield_How_Pro-Environmental_Advocacy.txt
M0187,5,The Relationship Between School Disconnectedness and Adolescent Internet Addiction: A Moderated Mediation Model.,level1_fail,False,True,True,excluded,low,Q1.1: no management-domain signal; flag for manual review,DOMAIN_FAIL_NO_SIGNAL,no management-domain signal; flag for manual review,ULMC_PASS_EMPIRICAL,empirical ULMC detected (ulmc_signals=2),PLS_PASS_NOT_DETECTED,no PLS-SEM detected,EXCLUDE_Q1_1_DOMAIN,Q1.1 FAIL (DOMAIN_FAIL_NO_SIGNAL): no management-domain signal; flag for manual review. Q1.2 PASS (ULMC_PASS_EMPIRICAL): empirical ULMC detected (ulmc_signals=2). Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: excluded — Level 1 eligibility fail.,ulmc,,EBSCO_M0187_Gonglu Cheng_2026_The_Relationship_Between_School_Disconnectedness.txt
M0188,6,Green Transformational Leadership and Value–Action Barrier on Employees' Pro-Environmental Behavior: The Moderating Role of Green Brand Image in Chinese Food Manufacturing Enterprises.,included,True,True,True,included,medium,Q1.1–Q1.3 all pass,DOMAIN_PASS_KEYWORDS_METADATA,management-domain keywords in metadata (n=5),ULMC_PASS_EMPIRICAL,empirical ULMC detected (ulmc_signals=1),PLS_PASS_NOT_DETECTED,no PLS-SEM detected,INCLUDE_ALL_CRITERIA_PASS,Q1.1 PASS (DOMAIN_PASS_KEYWORDS_METADATA): management-domain keywords in metadata (n=5). Q1.2 PASS (ULMC_PASS_EMPIRICAL): empirical ULMC detected (ulmc_signals=1). Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: included — all Level 1 criteria pass.,ulmc,"method variance, we compared CFA models with and without an unmeasured latent method factor and inspected changes in fit indices following recommended",EBSCO_M0188_Liqing Zhong and Juhee Hahn_2026_Green_Transformational_Leadership_and_ValueActio.txt
M0189,7,The Impact of Perceived Usefulness of Wearable Devices on Treatment Adherence in Fracture Patients: The Chain Mediating Roles of Self-Efficacy and Meaning in Life.,level1_fail,False,True,True,excluded,medium,Q1.1: non-management domain in PDF intro,DOMAIN_FAIL_EXCLUDE_INTRO,non-management domain in PDF intro,ULMC_PASS_EMPIRICAL,empirical ULMC detected (ulmc_signals=1),PLS_PASS_NOT_DETECTED,no PLS-SEM detected,EXCLUDE_Q1_1_DOMAIN,Q1.1 FAIL (DOMAIN_FAIL_EXCLUDE_INTRO): non-management domain in PDF intro. Q1.2 PASS (ULMC_PASS_EMPIRICAL): empirical ULMC detected (ulmc_signals=1). Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: excluded — Level 1 eligibility fail.,ulmc,"versity, Zhejiang Provincial Hospital of Chinese Medicine, Hangzhou, Zhejiang Province, People’s Republic of China; 2Department of Nursin",EBSCO_M0189_Xiaoxue Tan_2026_PPA_A_555791_123.txt
M0190,8,The effects of peer overqualification on dualistic work passion through the sequential mediation of perceived competitive climate and job anxiety.,level1_fail,True,False,True,excluded,medium,Q1.2: Harman primary CMV test; ULMC mention insufficient,DOMAIN_PASS_JOURNAL_OUTLET,management journal/outlet match,ULMC_FAIL_HARMAN_ONLY,Harman primary CMV test; ULMC mention insufficient,PLS_PASS_NOT_DETECTED,no PLS-SEM detected,EXCLUDE_Q1_2_ULMC,Q1.1 PASS (DOMAIN_PASS_JOURNAL_OUTLET): management journal/outlet match. Q1.2 FAIL (ULMC_FAIL_HARMAN_ONLY): Harman primary CMV test; ULMC mention insufficient. Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: excluded — Level 1 eligibility fail.,ulmc,"sess the impact of CMB67. In this study, the results of the exploratory factor analysis revealed that there were 5 factors with eigenvalues greater than 1. According to Harman’s single- factor test, we focused on the explained variance",EBSCO_M0190_Li-Yuan Wang_2025_The_effects_of_peer_overqualification_on_dualist.txt
M0191,9,"Modeling information literacy in Chinese physical education: the roles of technology integration, teaching practices, self-efficacy, and academic performance.",level1_fail,True,False,True,excluded,medium,Q1.2: marker-variable approach; ULMC mention insufficient,DOMAIN_BORDERLINE_STUDENT_SAMPLE,Student sample — verify workplace/organizational relevance,ULMC_FAIL_MARKER_ONLY,marker-variable approach; ULMC mention insufficient,PLS_PASS_NOT_DETECTED,no PLS-SEM detected,EXCLUDE_Q1_2_ULMC,Q1.1 PASS (DOMAIN_BORDERLINE_STUDENT_SAMPLE): Student sample — verify workplace/organizational relevance. Q1.2 FAIL (ULMC_FAIL_MARKER_ONLY): marker-variable approach; ULMC mention insufficient. Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: excluded — Level 1 eligibility fail.,ulmc,"common technique bias, more advanced methods, such as the marker variable or unmeasured latent method factor, may yield more precise",EBSCO_M0191_information use and comprehension. Six hundred fifty undergraduate students from Henan_2025_Modeling_information_literacy_in_Chinese_physica.txt
M0192,10,The Positive Effects of Employee AI Dependence on Voice Behavior—Based on Power Dependence Theory.,included,True,True,True,included,medium,Q1.1–Q1.3 all pass,DOMAIN_PASS_KEYWORDS_METADATA,management-domain keywords in metadata (n=5),ULMC_PASS_EMPIRICAL,empirical ULMC detected (ulmc_signals=1),PLS_PASS_NOT_DETECTED,no PLS-SEM detected,INCLUDE_ALL_CRITERIA_PASS,Q1.1 PASS (DOMAIN_PASS_KEYWORDS_METADATA): management-domain keywords in metadata (n=5). Q1.2 PASS (ULMC_PASS_EMPIRICAL): empirical ULMC detected (ulmc_signals=1). Q1.3 PASS (PLS_PASS_NOT_DETECTED): no PLS-SEM detected. Decision: included — all Level 1 criteria pass.,ulmc,erformance indicators and consider analytical approaches of unmeasured latent method factor (ULMF) techniques to mitigate CMV risk and strengthen causa,EBSCO_M0192_Tian_2025_The_Positive_Effects_of_Employee_AI_Dependence_o.txt
